tow_id,segment_type,latitude (degrees_north),longitude (degrees_east),depth (m),temperature (degree_C)
55225,2,40.7015,-66.7747,99.5385,9.572
55225,2,40.7015,-66.7747,97.6665,9.379
55225,2,40.7015,-66.7747,95.6755,9.154
55225,2,40.7015,-66.7747,93.6555,9.084
55225,2,40.7015,-66.7747,91.9015,9.102
55225,2,40.7015,-66.7747,90.5675,9.175
55225,2,40.7015,-66.7747,89.5145,9.288
55225,2,40.7015,-66.7747,88.7145,9.664
55225,2,40.7015,-66.7747,87.7805,9.825
55225,2,40.7015,-66.7747,87.6375,9.846
55225,2,40.7015,-66.7747,88.4235,9.7
55225,2,40.7015,-66.7747,88.7335,9.693
55225,2,40.7015,-66.7747,86.3515,9.76
55225,2,40.7015,-66.7747,84.7555,9.798
55225,2,40.7015,-66.7747,83.1115,9.736
55225,2,40.7015,-66.7747,81.6495,9.604
55225,2,40.7015,-66.7747,80.0005,9.515
55225,2,40.7015,-66.7747,78.0185,9.351
55225,2,40.7015,-66.7747,75.7745,9.203
55225,2,40.7015,-66.7747,73.5495,8.912
55225,2,40.7015,-66.7747,71.5395,8.493
55225,2,40.7015,-66.7747,69.5625,8.295
55225,2,40.7015,-66.7747,67.6085,8.153
55225,2,40.7015,-66.7747,65.7695,8.006
55225,2,40.7015,-66.7747,64.5785,7.755
55225,2,40.7015,-66.7747,64.1645,7.653
55225,2,40.7015,-66.7747,62.1915,7.73
55225,2,40.7015,-66.7747,60.1715,7.45
55225,2,40.7015,-66.7747,58.4945,7.306
55225,2,40.7015,-66.7747,57.1175,7.219
55225,2,40.7015,-66.7747,55.8025,7.11
55225,2,40.7015,-66.7747,54.1685,7.009
55225,2,40.7015,-66.7747,52.3775,6.937
55225,2,40.7015,-66.7747,50.6905,6.827
55225,2,40.7015,-66.7747,48.7565,6.713
55225,2,40.7015,-66.7747,46.5795,6.64
55225,2,40.7015,-66.7747,44.3975,6.616
55225,2,40.7015,-66.7747,42.6625,6.594
55225,2,40.7015,-66.7747,41.5105,6.513
55225,2,40.7015,-66.7747,40.6045,6.387
55225,2,40.7015,-66.7747,39.3375,6.206
55225,2,40.7015,-66.7747,38.1365,6.058
55225,2,40.7015,-66.7747,37.9275,5.996
55225,2,40.7015,-66.7747,35.9215,5.899
55225,2,40.7015,-66.7747,33.8305,5.873
55225,2,40.7015,-66.7747,31.5435,6.049
55225,2,40.7015,-66.7747,29.5085,6.192
55225,2,40.7015,-66.7747,27.7795,6.171
55225,2,40.7015,-66.7747,26.0215,6.13
55225,2,40.7015,-66.7747,24.0395,6.151
55225,2,40.7015,-66.7747,21.9525,6.174
55225,2,40.7015,-66.7747,20.0705,6.141
55225,2,40.7015,-66.7747,18.2125,6.105
55225,2,40.7015,-66.7747,16.3075,6.095
55225,2,40.7015,-66.7747,14.3155,6.091
55225,2,40.7015,-66.7747,12.3435,6.071
55225,2,40.7015,-66.7747,10.4185,6.066
55225,2,40.7015,-66.7747,8.6035,6.025
55225,2,40.7015,-66.7747,6.9355,5.895
55225,2,40.7015,-66.7747,5.1685,5.823
55225,2,40.7015,-66.7747,3.2485,5.785
55332,2,40.1056,-69.9612,124.0,11.979
55332,2,40.1056,-69.9612,122.7,11.985
55332,2,40.1056,-69.9612,121.6,11.989
55332,2,40.1056,-69.9612,120.2,11.989
55332,2,40.1056,-69.9612,118.6,11.991
55332,2,40.1056,-69.9612,117.3,11.993
55332,2,40.1056,-69.9612,118.8,12.009
55332,2,40.1056,-69.9612,120.0,12.011
55332,2,40.1056,-69.9612,121.5,12.01
55332,2,40.1056,-69.9612,122.9,12.011
55332,2,40.1056,-69.9612,121.6,12.008
55332,2,40.1056,-69.9612,119.7,12.008
55332,2,40.1056,-69.9612,118.7,12.009
55332,2,40.1056,-69.9612,116.4,12.009
55332,2,40.1056,-69.9612,115.1,12.008
55332,2,40.1056,-69.9612,114.0,12.008
55332,2,40.1056,-69.9612,112.9,12.008
55332,2,40.1056,-69.9612,111.6,12.009
55332,2,40.1056,-69.9612,110.3,12.013
55332,2,40.1056,-69.9612,109.2,12.018
55332,2,40.1056,-69.9612,107.8,12.015
55332,2,40.1056,-69.9612,106.3,12.018
55332,2,40.1056,-69.9612,107.3,12.018
55332,2,40.1056,-69.9612,106.3,12.018
55332,2,40.1056,-69.9612,107.5,12.018
55332,2,40.1056,-69.9612,108.7,12.02
55332,2,40.1056,-69.9612,110.2,12.022
55332,2,40.1056,-69.9612,109.2,12.027
55332,2,40.1056,-69.9612,110.2,12.031
55332,2,40.1056,-69.9612,111.3,12.037
55332,2,40.1056,-69.9612,110.1,12.038
55332,2,40.1056,-69.9612,111.5,12.037
55332,2,40.1056,-69.9612,112.5,12.037
55332,2,40.1056,-69.9612,113.6,12.041
55332,2,40.1056,-69.9612,112.1,12.041
55332,2,40.1056,-69.9612,110.9,12.041
55332,2,40.1056,-69.9612,109.4,12.041
55332,2,40.1056,-69.9612,108.3,12.041
55332,2,40.1056,-69.9612,107.3,12.04
55332,2,40.1056,-69.9612,106.3,12.039
55332,2,40.1056,-69.9612,105.1,12.032
55332,2,40.1056,-69.9612,104.1,12.031
55332,2,40.1056,-69.9612,103.0,12.028
55332,2,40.1056,-69.9612,101.6,12.025
55332,2,40.1056,-69.9612,100.3,12.022
55332,2,40.1056,-69.9612,98.4,12.021
55332,2,40.1056,-69.9612,97.4,12.018
55332,2,40.1056,-69.9612,96.2,12.017
55332,2,40.1056,-69.9612,95.0,12.016
55332,2,40.1056,-69.9612,93.6,12.013
55332,2,40.1056,-69.9612,92.3,12.011
55332,2,40.1056,-69.9612,90.3,12.01
55332,2,40.1056,-69.9612,89.3,11.839
55332,2,40.1056,-69.9612,90.5,11.606
55332,2,40.1056,-69.9612,88.9,11.579
55332,2,40.1056,-69.9612,87.6,11.598
55332,2,40.1056,-69.9612,89.0,11.502
55332,2,40.1056,-69.9612,87.6,11.421
55332,2,40.1056,-69.9612,85.6,11.408
55332,2,40.1056,-69.9612,84.2,11.403
55332,2,40.1056,-69.9612,83.2,11.382
55332,2,40.1056,-69.9612,81.8,11.375
55332,2,40.1056,-69.9612,80.2,11.361
55332,2,40.1056,-69.9612,78.6,11.348
55332,2,40.1056,-69.9612,77.6,11.293
55332,2,40.1056,-69.9612,75.8,11.236
55332,2,40.1056,-69.9612,74.8,11.195
55332,2,40.1056,-69.9612,73.5,11.091
55332,2,40.1056,-69.9612,72.4,10.964
55332,2,40.1056,-69.9612,71.4,10.885
55332,2,40.1056,-69.9612,70.4,10.884
55332,2,40.1056,-69.9612,68.9,10.882
55332,2,40.1056,-69.9612,67.5,10.746
55332,2,40.1056,-69.9612,66.4,10.666
55332,2,40.1056,-69.9612,65.1,10.568
55332,2,40.1056,-69.9612,63.4,10.287
55332,2,40.1056,-69.9612,61.5,10.082
55332,2,40.1056,-69.9612,59.7,10.082
55332,2,40.1056,-69.9612,57.9,10.076
55332,2,40.1056,-69.9612,56.8,9.978
55332,2,40.1056,-69.9612,55.0,9.682
55332,2,40.1056,-69.9612,53.8,9.502
55332,2,40.1056,-69.9612,51.9,9.055
55332,2,40.1056,-69.9612,50.3,8.645
55332,2,40.1056,-69.9612,48.2,8.257
55332,2,40.1056,-69.9612,46.7,7.911
55332,2,40.1056,-69.9612,45.4,7.537
55332,2,40.1056,-69.9612,46.4,7.404
55332,2,40.1056,-69.9612,44.4,7.346
55332,2,40.1056,-69.9612,43.0,7.394
55332,2,40.1056,-69.9612,44.5,7.283
55332,2,40.1056,-69.9612,43.1,7.322
55332,2,40.1056,-69.9612,41.2,7.361
55332,2,40.1056,-69.9612,40.1,7.419
55332,2,40.1056,-69.9612,38.8,7.415
55332,2,40.1056,-69.9612,37.4,7.339
55332,2,40.1056,-69.9612,35.1,7.327
55332,2,40.1056,-69.9612,33.6,7.325
55332,2,40.1056,-69.9612,31.3,7.366
55332,2,40.1056,-69.9612,30.0,7.396
55332,2,40.1056,-69.9612,28.0,7.359
