MAC_ADDRESS,SERIAL_NUMBER
F0:5E:CD:25:A2:78,2412716
F0:5E:CD:25:A3:64,2412717
F0:5E:CD:25:A2:66,2412718
F0:5E:CD:25:A4:5A,2412719
F0:5E:CD:25:A3:5F,2412720
F0:5E:CD:25:A3:4A,2412721
F0:5E:CD:25:A2:4F,2412722
F0:5E:CD:25:A0:52,2412723
F0:5E:CD:25:A3:25,2412725
F0:5E:CD:25:A3:4F,2412726
F0:5E:CD:25:A3:27,2412727
F0:5E:CD:25:A3:13,2412728
F0:5E:CD:25:A0:6D,2412729
F0:5E:CD:25:A2:46,2412730
F0:5E:CD:25:A3:07,2412731
F0:5E:CD:25:A3:2D,2412732
F0:5E:CD:25:A2:4A,2412733
F0:5E:CD:25:A2:65,2412734
F0:5E:CD:25:9D:9F,2412735
F0:5E:CD:25:A3:3C,2412736
F0:5E:CD:25:A3:08,2412737
F0:5E:CD:25:A0:5A,2412738
F0:5E:CD:25:A0:67,2412739
F0:5E:CD:25:A3:36,2412740
F0:5E:CD:25:A4:34,2412741
F0:5E:CD:25:A3:38,2412742
F0:5E:CD:25:A2:5A,2412743
F0:5E:CD:25:A3:26,2412744
F0:5E:CD:25:A3:59,2412745
F0:5E:CD:25:9D:BC,2412746
F0:5E:CD:25:A3:3A,2412747
F0:5E:CD:25:A2:3F,2412748
F0:5E:CD:25:A2:4E,2412749
F0:5E:CD:25:A0:54,2412750
F0:5E:CD:25:A3:39,2412751
F0:5E:CD:25:A3:7C,2412752
F0:5E:CD:25:A3:41,2412753
F0:5E:CD:25:A3:65,2412754
F0:5E:CD:25:A3:58,2412755
F0:5E:CD:25:A3:0D,2412756
F0:5E:CD:25:A3:2F,2412757
F0:5E:CD:25:A3:57,2412758
F0:5E:CD:25:A2:76,2412759
F0:5E:CD:25:A4:30,2412760
F0:5E:CD:25:A2:60,2412762
F0:5E:CD:25:A3:3B,2412763
F0:5E:CD:25:A3:2A,2412764
F0:5E:CD:25:A0:65,2412765
F0:5E:CD:25:A3:12,2412766
F0:5E:CD:25:A4:27,2412767
F0:5E:CD:25:A4:38,2412768
F0:5E:CD:25:A4:26,2412769
F0:5E:CD:25:A2:52,2412770
F0:5E:CD:25:A2:67,2412771
F0:5E:CD:25:A4:51,2412772
F0:5E:CD:25:A3:70,2412773
F0:5E:CD:25:A3:29,2412775
F0:5E:CD:25:A4:01,2412776
F0:5E:CD:25:A4:3E,2412777
F0:5E:CD:25:A4:56,2412778
F0:5E:CD:25:A4:23,2412779
F0:5E:CD:25:34:9A,2412780
F0:5E:CD:25:A3:6C,2412781
F0:5E:CD:25:A2:47,2412782
F0:5E:CD:25:A4:3D,2412783
F0:5E:CD:25:A0:69,2412784
F0:5E:CD:25:A3:31,2412785
F0:5E:CD:25:A3:75,2412786
F0:5E:CD:25:A3:0B,2412787
F0:5E:CD:25:A2:7A,2412788
F0:5E:CD:25:A3:40,2412789
F0:5E:CD:25:A3:63,2412790
F0:5E:CD:25:A4:46,2412791
F0:5E:CD:25:A3:6A,2412792
F0:5E:CD:25:A3:2E,2412793
F0:5E:CD:25:A3:0F,2412794
F0:5E:CD:25:A3:24,2412795
F0:5E:CD:25:A3:15,2412796
F0:5E:CD:25:A2:33,2412797
F0:5E:CD:25:A2:43,2412798
F0:5E:CD:25:9E:19,2412799
,25
D0:2E:AB:D9:29:55,2503600
D0:2E:AB:D9:29:77,2503601
F0:5E:CD:25:A2:5D,2503602
F0:5E:CD:25:A0:6F,2503603
F0:5E:CD:25:A2:71,2503604
F0:5E:CD:25:A2:7B,2503605
F0:5E:CD:25:A4:2A,2503606
F0:5E:CD:25:A4:35,2503607
F0:5E:CD:25:A2:48,2503608
F0:5E:CD:25:A2:5C,2503609
F0:5E:CD:25:A1:4E,2503705
F0:5E:CD:25:A2:2E,2503706
F0:5E:CD:25:A0:2B,2503707
F0:5E:CD:25:A1:4D,2503708
F0:5E:CD:25:A0:51,2503709
F0:5E:CD:25:A2:22,2503710
F0:5E:CD:25:A2:6A,2503711
F0:5E:CD:25:A2:10,2503712
F0:5E:CD:25:A2:69,2503713
F0:5E:CD:25:A2:0D,2503714
F0:5E:CD:25:A0:77,2503715
F0:5E:CD:25:A1:7E,2503716
F0:5E:CD:25:A0:72,2503717
F0:5E:CD:25:A4:50,2503718
F0:5E:CD:25:A4:4C,2503719
F0:5E:CD:25:A2:38,2503720
F0:5E:CD:25:A1:1F,2503721
F0:5E:CD:25:A3:76,2503722
F0:5E:CD:25:A2:3E,2503723
F0:5E:CD:25:A4:4B,2503724
