distance,forecast_temp,obs_temp,lat,lon,date,diff,color,scalecolor
2291.356343,6.019670741,6.31,39.85606864,-72.88674078,2024-04-08T07:01:11Z,-0.290329259,red,#FFFFFF
2542.969692,6.008184024,6.446,39.85606864,-72.88674078,2024-04-08T07:37:59Z,-0.437815976,red,#FFFFFF
2578.267606,5.994693911,6.314,39.85606864,-72.88674078,2024-04-08T08:30:36Z,-0.319306089,red,#FFFFFF
2965.861508,5.982133839,6.319,39.85606864,-72.88674078,2024-04-08T09:08:33Z,-0.336866161,red,#FFFFFF
2797.455737,5.982133839,6.434,39.85606864,-72.88674078,2024-04-08T09:36:30Z,-0.451866161,red,#FFFFFF
4348.076766,6.188249764,6.31,39.81678498,-72.95093495,2024-04-08T10:05:34Z,-0.121750236,red,#FFFFFF
3958.61064,6.188249764,6.303,39.81678498,-72.95093495,2024-04-08T10:49:35Z,-0.114750236,red,#FFFFFF
2787.477113,5.968242908,6.409,39.85606864,-72.88674078,2024-04-08T11:34:30Z,-0.440757092,red,#FFFFFF
2938.860732,5.968513838,6.404,39.85606864,-72.88674078,2024-04-08T12:15:10Z,-0.435486162,red,#FFFFFF
2948.084612,5.968513838,6.395,39.85606864,-72.88674078,2024-04-08T12:52:54Z,-0.426486162,red,#FFFFFF
3418.886574,5.972148238,6.371,39.85606864,-72.88674078,2024-04-08T13:17:30Z,-0.398851762,red,#FFFFFF
2623.705713,5.972148238,6.427,39.85606864,-72.88674078,2024-04-08T13:43:46Z,-0.454851762,red,#FFFFFF
2961.206284,5.977693826,6.409,39.85606864,-72.88674078,2024-04-08T14:25:30Z,-0.431306174,red,#FFFFFF
2773.015926,5.977693826,6.426,39.85606864,-72.88674078,2024-04-08T14:54:27Z,-0.448306174,red,#FFFFFF
3001.552452,5.983243148,6.409,39.85606864,-72.88674078,2024-04-08T15:46:31Z,-0.425756852,red,#FFFFFF
2740.433719,5.986667935,6.432,39.85606864,-72.88674078,2024-04-08T16:15:54Z,-0.445332065,red,#FFFFFF
2799.679928,4.848598649,5.019,42.00013972,-70.4510164,2024-04-09T10:01:10Z,-0.170401351,red,#FFFFFF
3504.254215,7.429608068,6.736,43.8545184,-68.17340006,2024-04-09T08:33:48Z,0.693608068,blue,#D6D6FF
2853.702531,4.848598649,5.017,42.00013972,-70.4510164,2024-04-09T10:51:33Z,-0.168401351,red,#FFFFFF
3082.826248,4.849242364,5.01,42.00013972,-70.4510164,2024-04-09T11:56:23Z,-0.160757636,red,#FFFFFF
2764.126252,6.524743614,7.029,39.58982526,-73.44960755,2024-04-06T17:58:26Z,-0.504256386,red,#FEFEFE
3311.416679,6.524509392,7.036,39.58982526,-73.44960755,2024-04-06T18:16:59Z,-0.511490608,red,#FFFDFD
2826.219244,6.467060804,6.997,39.50129493,-73.46211397,2024-04-06T19:31:14Z,-0.529939196,red,#FFFAFA
3400.132332,6.40098818,6.971,39.45231805,-73.41100444,2024-04-06T20:07:16Z,-0.57001182,red,#FFF3F3
3367.977511,6.510272658,7.084,39.41275283,-73.47459155,2024-04-06T21:00:58Z,-0.573727342,red,#FEF2F2
3339.400456,6.401546362,7.085,39.45231805,-73.41100444,2024-04-06T21:41:54Z,-0.683453638,red,#FFDFDF
3136.095591,6.404898765,7.085,39.45231805,-73.41100444,2024-04-06T22:48:25Z,-0.680101235,red,#FFE0E0
3040.493927,6.398211945,7.091,39.45231805,-73.41100444,2024-04-06T23:40:51Z,-0.692788055,red,#FEDEDE
526.5439243,6.398211945,7.004,39.45231805,-73.41100444,2024-04-07T00:24:44Z,-0.605788055,red,#FFEDED
3443.245279,6.402973991,7.089,39.45231805,-73.41100444,2024-04-07T01:44:17Z,-0.686026009,red,#FFDFDF
757.3948947,6.407020672,6.988,39.45231805,-73.41100444,2024-04-07T02:37:45Z,-0.580979328,red,#FFF1F1
3686.971727,6.500486718,7.014,39.41275283,-73.47459155,2024-04-07T03:46:05Z,-0.513513282,red,#FFFDFD
1579.43042,6.403471955,6.983,39.45231805,-73.41100444,2024-04-07T04:31:29Z,-0.579528045,red,#FFF1F1
3213.348894,6.397000424,6.988,39.45231805,-73.41100444,2024-04-07T05:01:11Z,-0.590999576,red,#FFEFEF
2879.288589,6.349101617,6.987,39.40331771,-73.35996013,2024-04-07T05:35:48Z,-0.637898383,red,#FFE7E7
3561.249558,6.388739863,6.968,39.45231805,-73.41100444,2024-04-07T06:56:09Z,-0.579260137,red,#FFF1F1
435.3233876,6.38015065,6.976,39.45231805,-73.41100444,2024-04-07T07:29:36Z,-0.59584935,red,#FFEEEE
1772.485211,6.372899098,6.964,39.45231805,-73.41100444,2024-04-07T09:32:57Z,-0.591100902,red,#FFEFEF
809.6753451,6.364993596,6.967,39.45231805,-73.41100444,2024-04-07T10:05:28Z,-0.602006404,red,#FEEEEE
2306.069894,6.364993596,6.949,39.45231805,-73.41100444,2024-04-07T10:44:13Z,-0.584006404,red,#FEF1F1
1653.813131,6.363676397,6.958,39.45231805,-73.41100444,2024-04-07T11:37:42Z,-0.594323603,red,#FFEFEF
1044.428159,6.364424602,6.96,39.45231805,-73.41100444,2024-04-07T12:42:51Z,-0.595575398,red,#FFEEEE
1517.674928,6.366473549,6.954,39.45231805,-73.41100444,2024-04-07T13:33:49Z,-0.587526451,red,#FFF0F0
1125.766452,6.36888818,6.954,39.45231805,-73.41100444,2024-04-07T14:48:39Z,-0.58511182,red,#FFF0F0
1296.66445,6.373594226,6.954,39.45231805,-73.41100444,2024-04-07T15:54:34Z,-0.580405774,red,#FFF1F1
1890.791727,6.37408177,6.989,39.45231805,-73.41100444,2024-04-07T16:45:54Z,-0.61491823,red,#FFEBEB
2659.281741,6.37408177,6.996,39.45231805,-73.41100444,2024-04-07T18:13:35Z,-0.62191823,red,#FEEAEA
2713.961465,6.454722488,6.976,39.50129493,-73.46211397,2024-04-07T19:20:39Z,-0.521277512,red,#FFFBFB
3195.942684,6.448657781,6.997,39.50129493,-73.46211397,2024-04-07T20:09:46Z,-0.548342219,red,#FFF7F7
2176.948905,6.484125756,7.104,39.46170703,-73.52571529,2024-04-07T21:15:56Z,-0.619874244,red,#FFEAEA
2004.518421,6.475556429,6.948,39.54084927,-73.39844698,2024-04-08T03:21:32Z,-0.472443571,red,#FFFFFF
3426.556165,6.483132813,6.954,39.54084927,-73.39844698,2024-04-08T04:08:21Z,-0.470867187,red,#FFFFFF
